filename,rmse,function
Ples_202_run04_2018-03-22_000001DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run04_2018-03-22_000001DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run04_2018-03-22_000001DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_sig
Ples_202_run04_2018-03-22_000001DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_lin
Ples_202_run04_2018-03-22_000001DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_202_run04_2018-03-22_000001DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_exp
Ples_202_run05_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_202_run05_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_202_run05_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run05_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run05_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_sig
Ples_202_run05_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_lin
Ples_202_run05_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_202_run05_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_exp
Ples_202_run06_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_202_run06_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_202_run06_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run06_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run06_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_sig
Ples_202_run06_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_lin
Ples_202_run06_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_202_run06_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_exp
Ples_202_run07_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,122.0,rmse_sig
Ples_202_run07_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,125.98,rmse_lin
Ples_202_run07_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,125.87,rmse_log
Ples_202_run07_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,126.26,rmse_exp
Ples_202_run07_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,340.83,rmse_sig
Ples_202_run07_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,345.86,rmse_lin
Ples_202_run07_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,343.62,rmse_log
Ples_202_run07_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,343.5,rmse_exp
Ples_202_run08_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_202_run08_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_202_run08_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run08_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run08_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_sig
Ples_202_run08_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_lin
Ples_202_run08_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_202_run08_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_exp
Ples_202_run09_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_202_run09_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
