,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_to1,mid_stance_toe_angles_mean_fl_to1-fl_to,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_to1,mid_stance_toe_angles_mean_fr_to1-fr_to,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_to1,mid_stance_toe_angles_mean_hr_to1-hr_to,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_to1,mid_stance_toe_angles_mean_hl_to1-hl_to
16,DOWN,0.5588352796585241,5088.41,b'stride0001',b'stride0002',b'stride0002',b'stride0002',330.0403680769675,291.4013507454502,166.4644262038254,333.1843368034223,,139.71426388011415,,,,,,,66.01637593538368,34.86886192684415,,60.48776462593389,77.86441632361468,18.879343474078496,,18.879343474078496,,23.825053626006095,,-27.640873230924,176.87138137149273,170.39231364444606,177.9441976842676,174.1517215601205,121.0776838680134,149.95890835481563,117.53504727582268,104.26112964468385,,,,,,,,,,,,
17,DOWN,0.7182631508397037,5259.764999999999,b'stride0001',b'stride0002',b'stride0002',b'stride0002',330.0403680769675,291.4013507454502,166.4644262038254,333.1843368034223,,142.35079626804077,,,,,,,66.01637593538368,34.86886192684415,,60.48776462593389,77.86441632361468,18.879343474078496,,18.879343474078496,,23.825053626006095,,-27.640873230924,171.9959373917127,171.98669275497284,168.94267224919562,177.2284759341109,126.46160535523879,161.95178229629076,113.71053090239263,99.34935822552474,,,,,,,,,,,,
18,DOWN,2.1818505098578953,5909.035,b'stride0001',b'stride0002',b'stride0002',b'stride0002',330.0403680769675,291.4013507454502,166.4644262038254,333.1843368034223,,146.5913242842742,,,,,,,66.01637593538368,34.86886192684415,,60.48776462593389,77.86441632361468,18.879343474078496,,18.879343474078496,,23.825053626006095,,-27.640873230924,168.14621445668877,172.5434281473033,175.2190484227711,178.67083581077082,131.0160598257349,157.9979381712011,121.37889275031833,89.33233812440706,,,,,,,,,,,,
19,DOWN,3.47211680597988,5558.195,b'stride0001',b'stride0002',b'stride0002',b'stride0002',330.0403680769675,291.4013507454502,166.4644262038254,333.1843368034223,,135.90839124240267,,,,,,,66.01637593538368,34.86886192684415,,60.48776462593389,77.86441632361468,18.879343474078496,,18.879343474078496,,23.825053626006095,,-27.640873230924,175.40300234823852,179.1280434237167,177.21407423034313,179.72684799061435,131.9814643393729,160.84196314297142,113.19721457701152,95.27151831375566,,,,,,,,,,,,
20,DOWN,5.243157818682732,6042.385,b'stance0001',b'stride0002',b'stance0002',b'stride0002',330.0403680769675,,,333.1843368034223,,135.0020198945497,,,,,,,,34.86886192684415,,60.48776462593389,,18.879343474078496,,18.879343474078496,,23.825053626006095,,-27.640873230924,175.8976562914551,170.1490689895512,178.4189027380067,172.53039953890675,121.10714546432794,148.4495321594428,100.75358449100354,94.17861441559162,,,,,,,,,,,,
21,DOWN,6.607580386055645,5239.45,b'stance0001',b'stride0002',b'stance0002',b'stride0002',330.0403680769675,,,333.1843368034223,,128.3876530119035,,,,,,,,34.86886192684415,,60.48776462593389,,18.879343474078496,,18.879343474078496,,23.825053626006095,,-27.640873230924,157.2443009857816,161.99791866760978,179.56636810519984,175.7131223554131,117.39984614406919,134.55215614281832,98.53831089874099,92.35001566260127,,,,,,,,,,,,
22,DOWN,6.209237412876604,6765.695,b'stance0001',b'stride0002',b'stance0002',b'stride0002',330.0403680769675,,,333.1843368034223,,117.15981316871101,,,,,,,,34.86886192684415,,60.48776462593389,,18.879343474078496,,18.879343474078496,,23.825053626006095,,-27.640873230924,147.34830078370297,163.6073506210234,169.54000507180382,177.95468995236283,125.00160655753041,126.57642692547122,117.14127284987462,92.7956317745123,,,,,,,,,,,,
23,DOWN,6.477579965747253,5889.235000000001,b'stride0002',b'stride0002',b'stance0002',b'stride0002',330.0403680769675,340.07133713050314,,333.1843368034223,150.5116836548914,95.66927711346308,,,,,,,26.995825417059507,34.86886192684415,,60.48776462593389,17.76613842065199,18.879343474078496,,18.879343474078496,41.998784377533084,23.825053626006095,,-27.640873230924,150.73128676331038,167.27452375903783,172.2720468473175,178.85824759159914,148.12309982706097,123.26703506035767,129.4393315270649,103.01652169262343,,,,,,,,,,,,
24,DOWN,4.7194283888356665,6474.83,b'stride0002',b'stride0002',b'stride0003',b'stride0002',330.0403680769675,340.07133713050314,332.3534232461779,333.1843368034223,155.48211424924958,84.1301943929952,,,,,,,26.995825417059507,34.86886192684415,73.25008407020809,60.48776462593389,17.76613842065199,18.879343474078496,16.847783588405463,18.879343474078496,41.998784377533084,23.825053626006095,-26.634442475519762,-27.640873230924,149.0652547139126,173.0635384890403,171.2077539700878,171.46116601609197,152.37797015854127,123.61872083498108,121.84108005608967,108.32231058538244,,,,,,,,,,,,
25,DOWN,4.412069181343497,6463.235000000001,b'stride0002',b'stride0002',b'stride0003',b'stride0002',330.0403680769675,340.07133713050314,332.3534232461779,333.1843368034223,155.92221252702572,73.52232536522023,,,,,,,26.995825417059507,34.86886192684415,73.25008407020809,60.48776462593389,17.76613842065199,18.879343474078496,16.847783588405463,18.879343474078496,41.998784377533084,23.825053626006095,-26.634442475519762,-27.640873230924,146.97810494068142,175.69867246415694,171.52729300891912,171.0269406615531,152.8606273835019,125.26103897145921,114.59492247395781,108.67651822321973,,,,,,,,,,,,
