,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_to1,hl_to1-hl_to
10,UP,17.797133282620965,4095.8549999999996,b'stride0001',b'stance0001',b'stride0002',b'stance0001',,260.97779112185964,216.77892667138514,,83.27973165670305,,63.849033847927636,,,16.586107705609617,,109.43768516421797,77.06175503480296,,113.98224973093922,,35.85888052259771,,28.040744805099955,,20.458966666175996,,-14.322973601107321,,161.45389279939374,139.7754866165873,171.69634324909262,147.19836240721432,125.44284642962819,88.09031472149218,81.96084531977871,121.13597566633013,37.880177416029845,35.399083822033276,44.64102934763824,63.7583921913676,47.387218930100104,41.41031172395982,43.40047339408739,34.09760780199746,61.95453700620983,30.952451925713376,58.71103660735169,79.51577640288471
11,UP,13.0597255300939,4148.48,b'stride0001',b'stance0001',b'stride0002',b'stance0001',,260.97779112185964,216.77892667138514,,64.43506998642555,,43.88665904107407,,,16.586107705609617,,109.43768516421797,77.06175503480296,,113.98224973093922,,35.85888052259771,,28.040744805099955,,20.458966666175996,,-14.322973601107321,,175.742477261455,136.6375498930528,177.18701420820256,153.65530365727312,129.24477596602165,96.1759773526256,86.47923811785735,131.28261803145193,54.613672746246465,39.22232477578184,53.16011582818736,57.12410401057322,50.70370612022184,44.002396209729106,34.27865536787033,53.87054723299191,68.90804206279947,30.745566217892772,69.84104792118431,78.83040047709375
12,UP,9.670915524470654,3505.245,b'stride0001',b'stance0001',b'stride0002',b'stride0002',,260.97779112185964,216.77892667138514,264.96577120770456,54.871597843512674,,29.918958286823813,143.0141531364721,,16.586107705609617,,,77.06175503480296,,113.98224973093922,78.47295158499064,35.85888052259771,,28.040744805099955,34.10451953120712,20.458966666175996,,-14.322973601107321,-2.0538029314284074,179.6467048743365,149.90301236491678,167.50289335148017,152.97382122788613,131.36443685089472,117.58582683820075,93.34506295188655,145.34682483124124,61.61193651165166,60.85916487003376,53.12741082889421,73.62183895180783,47.121146429659504,40.336660531745004,41.949789724276926,64.15652509157921,76.22890244854227,39.21953077671892,60.884548909296285,68.13343706864025
13,UP,5.549361042158235,3553.325,b'stride0001',b'stride0002',b'stride0002',b'stride0002',251.11186795634038,260.97779112185964,216.77892667138514,264.96577120770456,53.170675506497474,157.0130068410016,10.753699732635532,157.22596243385536,,,,,77.06175503480296,52.9146096049417,113.98224973093922,78.47295158499064,35.85888052259771,34.10451953120712,28.040744805099955,34.10451953120712,20.458966666175996,24.761288409241132,-14.322973601107321,-2.0538029314284074,179.3284697420132,145.7165059246701,145.22943431261183,131.3753672422772,131.00416583451843,138.26993696426615,81.37422629404223,159.03357073107523,59.223929350386804,63.71838256047295,47.24800441189534,70.83957193183228,38.69319791001108,38.793457492809566,55.98531679080317,64.18784170284516,64.30981596848522,45.80651798253983,48.825042741805554,85.11755934759415
14,UP,3.0112487190336283,3422.21,b'stride0001',b'stride0002',b'stride0002',b'stride0002',251.11186795634038,260.97779112185964,216.77892667138514,264.96577120770456,55.268494877538274,158.3805065906415,5.158912687837004,154.07827363786893,,,,,77.06175503480296,52.9146096049417,113.98224973093922,78.47295158499064,35.85888052259771,34.10451953120712,28.040744805099955,34.10451953120712,20.458966666175996,24.761288409241132,-14.322973601107321,-2.0538029314284074,177.31276083355232,146.80217832932772,144.45049854930286,147.66452042015635,131.9551324647199,148.86629323874084,85.31387620857214,147.75718523510173,62.228739562371274,58.495409685805924,45.52541189160557,56.20413124611389,40.60110988862861,33.40655288359553,46.17079700915556,54.70926040962994,85.94960234521211,39.71242966819942,35.40849479511898,52.13897685324224
15,UP,0.4804344760243233,2527.0950000000003,b'stance0001',b'stride0002',b'stance0002',b'stride0002',251.11186795634038,,,264.96577120770456,,161.2659367004539,,145.87652389856902,33.126848044679086,,,,,52.9146096049417,,78.47295158499064,,34.10451953120712,,34.10451953120712,,24.761288409241132,,-2.0538029314284074,171.38794111021892,137.31101237739523,159.55944271280913,141.44114336107452,117.39833758383213,140.1185601439149,85.24404070955116,126.2171044779039,71.3600509440299,51.41821026317601,54.37943783639924,48.20705644908689,55.56514247047866,29.63877815100851,39.62238567399906,76.10210327718443,76.30049285578713,42.49304975663256,30.73014039479188,57.40692256976358
16,UP,1.071828654523556,3798.96,b'stance0001',b'stride0002',b'stance0002',b'stride0002',251.11186795634038,,,264.96577120770456,,153.26660362223666,,128.02599562095116,33.126848044679086,,,,,52.9146096049417,,78.47295158499064,,34.10451953120712,,34.10451953120712,,24.761288409241132,,-2.0538029314284074,165.29097183155596,136.0364347136416,164.5994393027324,140.9456455039517,103.07281344610692,149.92515354432246,77.5876741833308,107.80621678909618,73.58686363694066,55.65133515333729,59.63813073956707,23.448016558548378,28.923536410346948,4.250889925162658,31.238656036251395,66.42575135208415,85.36899543739166,41.50831340539704,34.61621013425113,53.18004251415132
17,UP,3.0977486081708583,3497.51,b'stance0001',b'stride0002',b'stance0002',b'stride0002',251.11186795634038,,,264.96577120770456,,141.41273356602397,,115.01014315973707,33.126848044679086,,,,,52.9146096049417,,78.47295158499064,,34.10451953120712,,34.10451953120712,,24.761288409241132,,-2.0538029314284074,165.80345310346968,132.69263446016163,167.27555210706447,148.58458671042132,100.24313433791076,150.9551641372879,78.64591143527502,113.13405609968886,73.83771333866358,57.83122831812179,59.91517322405766,34.53835784207738,34.55966886874888,57.70478336816493,33.466284804006314,63.37710505791365,84.91422238219477,49.864442917297325,37.31720859519563,44.659352155722814
18,UP,4.405962354626192,3634.355,b'stance0001',b'stride0002',b'stance0002',b'stride0002',251.11186795634038,,,264.96577120770456,,124.7925878796554,,90.72020707236089,33.126848044679086,,,,,52.9146096049417,,78.47295158499064,,34.10451953120712,,34.10451953120712,,24.761288409241132,,-2.0538029314284074,147.92237648768452,139.82941187682516,168.5235592320562,164.8165856119044,83.972810151058,130.60409186088756,86.49501201133727,117.42131573199381,70.76160207929732,61.09923155943632,54.72594185491339,34.44841276571673,38.31058878393799,44.79846848480832,33.523567721269345,62.43727338260418,81.3154114275895,42.18393689652503,40.710776847757124,67.53631753069922
19,UP,4.904455761619711,3758.9750000000004,b'stance0001',b'stride0002',b'stance0002',b'stride0002',251.11186795634038,,,264.96577120770456,,109.16186565171303,,76.29842673540966,33.126848044679086,,,,,52.9146096049417,,78.47295158499064,,34.10451953120712,,34.10451953120712,,24.761288409241132,,-2.0538029314284074,145.89956846150747,145.1483052424695,174.44420555864428,162.82132470485965,82.30052722575104,116.72783206607826,90.12289057947442,124.34098971884339,70.00333038067063,57.52139313418905,58.60461528990466,55.85232159896509,37.52267669976935,42.30002475051684,27.107787050938686,63.90089220075017,77.0647409086406,45.98542506435405,49.84054008350199,87.96906519264795
