,direction_of_climbing,body_deflection_angle,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,speed_PXperS,step-length_FL,step-length_FR,step-length_HR,step-length_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,cranial_bA,prox_bA,tip_bA,prox_dist,dist_bA,cranial_caudal,amplitude_Spine_A,amplitude_Spine_B,amplitude_Spine_C,amplitude_Tail_A,amplitude_Tail_B,amplitude_Tail_C,amplitude_Tail_Tip
234,UP,15.866942272845222,b'nan',b'stance0001',b'nan',b'nan',,,,,,,,,,8.951006898122472,-1.1328899935466694,-0.32435208806922217,-1.4092207476351006,0.2763307540884312,17.5279497713992,2.8295637046117434,8.058777621291155,4.892320353924694,6.665626481491343,2.4729735757095,,1.6610105148692003
235,UP,16.20044073083993,b'nan',b'stance0001',b'nan',b'nan',,,,,,,,,,7.895697445927907,-1.5752719314682269,-0.7592294207842217,-1.4274706110016013,-0.1478013204666254,15.625220486561892,2.4202087421326652,7.114702763765387,4.45653576926537,6.854102560235826,3.462984480832207,8.482417480791018,3.8966835671937807
236,UP,16.1458553785355,b'nan',b'stance0001',b'nan',b'nan',,,,,,,,,,7.147214890628927,-1.7673825670232923,-0.726463144391787,-1.804922266654787,0.03753969963149464,14.285702497476775,1.8291038255674366,6.476223645113134,4.4510877586167386,6.493184588881093,3.848976240060593,8.775165701773469,3.7375761820242404
237,UP,16.315120431144866,b'nan',b'stance0001',b'nan',b'nan',,,,,,,,,,6.711277990493235,-1.8278191430881738,-0.9842309328827956,-1.45740214483467,-0.3704169982535039,13.394148008290204,1.8479715372945391,6.063649372506861,3.8100736385110676,6.701465097336993,3.9665434450200387,7.53672506113069,5.071453478590243
238,UP,16.349816083849312,b'nan',b'stance0001',b'nan',b'nan',,,,,,,,,,6.944227036406398,-1.8984558372840927,-0.973461656524912,-1.6028444996144053,-0.29561133766968745,13.863418898066756,2.075901478191972,6.304750345847349,3.9784278177776726,7.46838066978292,4.126821180593797,7.483183406823994,5.003842687636068
239,UP,16.35872459330319,b'nan',b'stance0001',b'nan',b'nan',,,,,,,,,,6.861101125855206,-2.180487604881785,-0.9797199553603417,-2.0850422667350283,-0.0954453381467565,13.649192606686444,1.7299825993596012,6.192352391422821,3.600420984988532,7.2028703524680315,4.761470076933108,,5.044546737756745
240,UP,16.295390469779,b'nan',b'stance0001',b'nan',b'nan',,,,,,,,,,7.836986495906271,-2.2326216287529213,-0.8428289837305517,-2.4076900317657026,0.17506840301278173,15.61602846765176,1.9392582737512192,7.117889657869557,3.9827595256012356,7.513242245988319,4.839387009366378,,4.321161845092612
241,UP,16.391840891035887,b'nan',b'stance0001',b'nan',b'nan',,,,,,,,,,7.063648631532086,-3.18233835016973,-0.9854029496703103,-3.771543574964135,0.5892052247944045,14.184638473122055,1.5864163156701099,6.532254708242027,3.8649644729161556,7.581459341597772,6.8145751406139965,6.829000727588348,5.053541245086522
242,UP,16.484892851772496,b'nan',b'stance0001',b'nan',b'nan',,,,,,,,,,8.377800202805124,-2.4196255025691125,-1.044307788889876,-2.4169017395766987,-0.0027237629924135656,16.801654389968668,2.0682964189225155,7.770342311853694,4.36871308038507,7.781163612948228,5.339571912834114,6.304383053154308,5.347510580783072
243,UP,16.437420557376438,b'nan',b'stance0001',b'nan',b'nan',,,,,,,,,,8.603817260100008,-2.321213808272606,-0.9673597993529524,-2.3809941069818614,0.05978029870925553,17.533605511070235,2.3508812132604198,8.115152571750697,4.677256337756368,7.731826227297759,5.126383752429217,6.56990227788519,4.952324234567076
