,direction_of_climbing,body_deflection_angle,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,speed_PXperS,step-length_FL,step-length_FR,step-length_HR,step-length_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,cranial_bA,prox_bA,tip_bA,prox_dist,dist_bA,cranial_caudal,amplitude_Spine_A,amplitude_Spine_B,amplitude_Spine_C,amplitude_Tail_A,amplitude_Tail_B,amplitude_Tail_C,amplitude_Tail_Tip
58,DOWN,0.2693557583187385,b'swing0002',b'stance0001',b'nan',b'nan',733.15,12.352176938104666,,,,7.874049019368428,,,,-4.795781261110095,,54.637400123038596,,,-10.68652485021956,2.6671393741044516,5.160026837237885,,,,,184.99467147095234
59,DOWN,0.4364480104307802,b'swing0002',b'stance0001',b'nan',b'nan',394.445,12.352176938104666,,,,7.874049019368428,,,,-4.48457915177863,,,,,-10.18070333872178,3.1801225428882316,4.860116557078054,,,,,
60,DOWN,0.283765145584141,b'swing0002',b'stance0001',b'nan',b'nan',424.475,12.352176938104666,,,,7.874049019368428,,,,-4.846272049668326,,52.519271983187984,,,-10.946331549257929,3.3257464964627665,5.261556996396936,,,,,178.44893335900522
61,DOWN,1.4648363918825567,b'swing0002',b'stance0001',b'nan',b'nan',224.885,12.352176938104666,,,,7.874049019368428,,,,-5.678396823832689,,,,,-12.62182396082983,3.5538988154971722,6.123654502922418,5.803459776610181,,,,
62,DOWN,1.408257135601616,b'swing0002',b'stance0001',b'nan',b'nan',474.55,12.352176938104666,,,,7.874049019368428,,,,-5.786444918211563,,,,,-12.710039180156286,3.1258376726368073,6.172346317814768,5.436122516581277,,,,
63,DOWN,1.96277794665923,b'swing0002',b'stance0001',b'nan',b'nan',567.095,12.352176938104666,,,,7.874049019368428,,,,-4.577728608475014,,,,,-9.827305279368884,2.7115546280014247,4.806611505888089,4.85142326855216,,,,
64,DOWN,2.265908099984756,b'swing0002',b'stance0001',b'nan',b'nan',584.1800000000001,12.352176938104666,,,,7.874049019368428,,,,-3.118483017968598,,,,,-6.670179103463609,4.5068491982097445,3.269393181246008,,,,,
65,DOWN,4.149889196883265,b'swing0002',b'stance0001',b'nan',b'nan',451.35,12.352176938104666,,,,7.874049019368428,,,,-4.006232065373824,,,,,-8.187212802772402,1.8307269248548264,4.053691024704034,,,,,
66,DOWN,4.367357941881778,b'swing0002',b'stance0001',b'nan',b'nan',569.83,12.352176938104666,,,,7.874049019368428,,,,-3.036524618131449,,,,,-6.3925522435719655,2.077055200023796,3.251481920496377,,,,,
67,DOWN,5.287128060556057,b'swing0002',b'stance0001',b'nan',b'nan',945.185,12.352176938104666,,,,7.874049019368428,,,,-1.6782669738494436,,,,,-3.583886528087674,1.3127835103191132,1.7977767856735831,,,,,
68,DOWN,4.574632268818647,b'swing0002',b'stance0001',b'nan',b'nan',705.5550000000001,12.352176938104666,,,,7.874049019368428,,,,-0.3428446399070204,,,,,-0.7109277122948979,1.0073260239747688,0.34692782160184177,,,,,
69,DOWN,5.551975718521589,b'swing0002',b'stance0001',b'nan',b'nan',782.4749999999999,12.352176938104666,,,,7.874049019368428,,,,0.1528279549485141,,,,,0.31201478822979856,1.1565557118746856,0.15711200718130575,,,,,
70,DOWN,4.464357723077654,b'swing0002',b'stance0001',b'nan',b'nan',865.63,12.352176938104666,,,,7.874049019368428,,,,1.4626814606862737,20.59365690181905,,,,3.0182259835281346,0.9450661969112036,1.4891633867765584,,,27.64045706720574,,
71,DOWN,3.3487963156134413,b'swing0002',b'swing0001',b'nan',b'nan',678.29,12.352176938104666,,,,7.874049019368428,5.899154401914124,,,-0.3064372046172594,21.768552348472507,,,,-0.6357814482501716,0.3880194291084312,0.30945202099445435,,,29.313394858283925,,
