,direction_of_climbing,body_deflection_angle,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,speed_PXperS,step-length_FL,step-length_FR,step-length_HR,step-length_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,cranial_bA,prox_bA,tip_bA,prox_dist,dist_bA,cranial_caudal,amplitude_Spine_A,amplitude_Spine_B,amplitude_Spine_C,amplitude_Tail_A,amplitude_Tail_B,amplitude_Tail_C,amplitude_Tail_Tip
46,UP,14.810018348493626,b'swing0001',b'stance0001',b'nan',b'stance0001',882.88,,,,,23.05374902454289,,,,-10.91766490676937,,,,,-23.720356797144166,6.882546957671677,11.692199729499476,7.360235983355218,2.1459372306791678,,,
47,UP,13.365498423596387,b'swing0001',b'stance0001',b'nan',b'stance0001',571.735,,,,,23.05374902454289,,,,-12.808616010899227,,,,,-27.16700463784532,8.157144660457547,13.57083516467743,10.207109163430887,0.281275596690378,,,
48,UP,11.558380741555663,b'swing0001',b'stance0001',b'nan',b'stance0001',1008.9649999999999,,,,,23.05374902454289,,,,-13.348305645590525,,,,,-27.23072153744517,8.762746702161921,14.112058961653913,10.918816751140822,,,,
49,UP,10.581804083947887,b'swing0001',b'stance0001',b'nan',b'stance0001',451.67999999999995,,,,,23.05374902454289,,,,-13.236258690763274,,,,,-27.269350095457227,8.62454123560014,13.938022087408827,11.113549761449425,2.3992336820866735,,,
50,UP,9.443134606979841,b'stance0001',b'stance0001',b'nan',b'stance0001',330.445,,,,,,,,,-12.104491481500451,,,,,-24.96056017946898,8.508066108242204,12.598667474378715,8.217311197624529,3.6296729271295103,,,
51,UP,8.553212787936689,b'stance0001',b'swing0002',b'nan',b'stance0001',297.13,,,,,,19.635389472781284,,,-11.644254726088793,,,,,-23.650518489272308,8.013508419078962,12.208038868390863,7.99646279403445,,,,
52,UP,8.326796866382143,b'stance0001',b'swing0002',b'nan',b'stance0001',438.725,,,,,,19.635389472781284,,,-10.800874849366616,-2.516768215319946,,,,-22.215311573012166,7.469617413239929,11.454949025640396,7.378999978077545,1.5993301352783442,5.150161468177365,,
53,UP,7.367917182135893,b'stance0001',b'swing0002',b'stance0001',b'stance0001',313.84000000000003,,,,,,19.635389472781284,,,-10.519021734213364,-1.184249204952845,,,,-21.65815721512823,7.171380270403304,11.406129410721565,9.078362711174657,2.7623064751597277,2.4172953042600183,,
54,UP,7.291066175300198,b'stance0001',b'swing0002',b'stance0001',b'stance0001',304.0,,,,,,19.635389472781284,,,-10.419073563630185,,,,,-21.244327333384597,6.907671001592988,11.08863744756006,10.53680426626983,2.0799838114537113,,,
55,UP,6.942573429574901,b'stance0001',b'swing0002',b'stance0001',b'stance0001',278.29,,,,,,19.635389472781284,,,-9.912928331719456,,,,,-20.36370724944247,6.447344026049587,10.746348949231974,9.771653633454005,2.8299546340469175,,,
56,UP,6.996879033311807,b'stance0001',b'swing0002',b'stance0001',b'stance0001',441.71999999999997,,,,,,19.635389472781284,,,-9.779776238790356,,,,,-20.097357425948644,6.253599836702142,10.705107851073985,9.84625581087925,3.7423625364233324,,,
57,UP,6.909577630093493,b'stance0001',b'swing0002',b'stance0001',b'stance0001',900.27,,,,,,19.635389472781284,,,-9.39734708475256,,,,,-19.3140514937875,5.896362881319289,10.360712232827822,9.651929034654577,3.9060863163868373,,1.9991343429260569,
58,UP,6.601443909723153,b'stance0001',b'swing0002',b'stance0001',b'stance0001',440.57,,,,,,19.635389472781284,,,-8.648084423590674,,,,,-18.21536012368656,5.331694968404829,9.45990900495113,9.113016846139828,4.686223403448087,,,
59,UP,6.442078558827527,b'stance0001',b'swing0002',b'stance0001',b'stance0001',267.815,,,,,,19.635389472781284,,,-8.228690654357742,,,,,-17.526346257131433,5.540852701183303,8.981438993681634,8.632928422179672,4.8505200333079,,,
60,UP,6.290782213023351,b'stance0001',b'swing0002',b'stance0001',b'stance0001',377.0,,,,,,19.635389472781284,,,-8.403856588971571,,,,,-17.798251177051764,5.8369662258072115,9.148100377110785,8.16868629719868,,,,
61,UP,6.465611140371973,b'stance0001',b'swing0002',b'stance0001',b'stance0001',284.735,,,,,,19.635389472781284,,,-7.853751362585072,,,,,-16.739191127298536,5.462345357290257,8.544561389606281,7.9479414798682795,,,,
62,UP,6.720552344948134,b'stance0001',b'swing0002',b'stance0001',b'stance0001',411.90000000000003,,,,,,19.635389472781284,,,-8.136914739848333,,,,,-17.234019044180553,5.595395678431733,8.861606407647958,8.202364376595048,,,,
63,UP,6.579667947645207,b'stance0001',b'swing0002',b'stance0001',b'stance0001',167.88,,,,,,19.635389472781284,,,-7.970712986344029,,,,,-17.178324257577227,5.443897050992182,8.544726051294239,7.7809219563326755,,,,
64,UP,6.612286596110212,b'stance0001',b'swing0002',b'stance0001',b'stance0001',66.18,,,,,,19.635389472781284,,,-8.16822129434198,,,,,-17.460456233864747,5.5497927174547925,8.693877400658451,7.9380167562254345,4.6973600753731315,,,
65,UP,6.732463497130856,b'stance0001',b'swing0002',b'stance0001',b'stance0001',136.22,,,,,,19.635389472781284,,,-8.322210153426646,,,,,-17.821469104399178,5.712020243676153,8.884923886427712,8.085805625636153,,,,
66,UP,6.840392777240456,b'stance0001',b'swing0002',b'stance0001',b'stance0001',38.754999999999995,,,,,,19.635389472781284,,,-8.712876832149332,,,,,-18.72899022638551,6.109813622027752,9.354954574237505,8.149032016694367,6.911364991692583,,,
67,UP,6.953787799496439,b'stance0001',b'swing0002',b'stance0001',b'stance0001',82.96000000000001,,,,,,19.635389472781284,,,-8.575335126851403,,,,,-18.59705358087649,6.036942508555504,9.254886496387316,7.954410759195198,6.786809654290671,,,
68,UP,7.023761636614096,b'stance0001',b'swing0002',b'stance0001',b'stance0001',166.67000000000002,,,,,,19.635389472781284,,,-8.769603589967211,,,,,-18.923393246655085,6.011916104667986,9.44548926169902,8.077393848435058,7.479871224217834,,,
69,UP,6.992017533496962,b'stance0001',b'swing0002',b'stance0001',b'stance0001',50.315,,,,,,19.635389472781284,,,-8.633660908232637,,,,,-18.783536159926335,5.704842370734241,9.265617399715142,8.001395424476927,6.724204152427906,,,
70,UP,6.9896947382871275,b'stance0001',b'swing0002',b'stance0001',b'stance0001',94.6,,,,,,19.635389472781284,,,-8.60011298099972,,,,,-18.64528782762686,5.64260667659796,9.159135182357389,7.986808357516599,6.966201811276042,,,
71,UP,7.003042744581103,b'stance0001',b'swing0002',b'stance0001',b'stance0001',69.495,,,,,,19.635389472781284,,,-8.650148566847415,,,,,-18.752933318671463,5.721063375251988,9.191799175172203,7.771983131507801,6.7331406370135305,,,
72,UP,6.988727419746404,b'stance0001',b'swing0002',b'stance0001',b'stance0001',34.695,,,,,,19.635389472781284,,,-8.678478785649524,,,,,-18.876018251885537,5.865040698262536,9.259630310808262,7.987119312550543,6.70726337689604,,,
73,UP,6.911900036460286,b'stance0001',b'swing0002',b'stance0001',b'stance0001',133.595,,,,,,19.635389472781284,,,-8.685155142219093,,,,,-18.76000870168642,5.865503127163767,9.258458088813542,7.98288977866923,6.645848704999882,,,
74,UP,6.914828663013668,b'stance0001',b'swing0002',b'stance0001',b'stance0001',54.395,,,,,,19.635389472781284,,,-8.597348768673646,,,,,-18.63822588537956,5.688990226491891,9.199930278809216,8.036570950261439,6.609430540683086,,,
75,UP,6.9151315127247965,b'stance0001',b'swing0002',b'stance0001',b'stance0001',118.65,,,,,,19.635389472781284,,,-8.160629112384804,,,,,-17.62656516054664,5.418523329245147,8.698514173715335,7.738338847897908,6.868727610964933,,,
76,UP,6.930926624848581,b'stance0001',b'swing0002',b'stance0001',b'stance0001',64.52499999999999,,,,,,19.635389472781284,,,-8.234911236700698,,,,,-17.747452397811514,5.413880484438198,8.709587545671813,7.800649283676143,7.086201065694223,,,
77,UP,6.839367649053416,b'stance0001',b'swing0002',b'stance0001',b'stance0001',32.975,,,,,,19.635389472781284,,,-8.283590889594002,,,,,-17.802336968623848,5.46144032411056,8.771776168833291,7.80863060215063,7.27087344147214,,,
78,UP,6.917718863019668,b'stance0001',b'swing0002',b'stance0001',b'stance0001',71.095,,,,,,19.635389472781284,,,-8.344694455579944,,,,,-17.92994191646933,5.390243431394536,8.77873555034764,7.698627488788732,7.472156919676013,,,
79,UP,7.0599768766858855,b'stance0001',b'swing0002',b'stance0001',b'stance0001',113.94,,,,,,19.635389472781284,,,-8.49467494379118,,,,,-18.180114927590047,5.414386165445495,8.93148561299339,7.905582809117777,6.845762281636301,,,
80,UP,7.0552250151128915,b'stance0001',b'swing0002',b'stance0001',b'stance0001',60.59,,,,,,19.635389472781284,,,-8.69377146979284,,,,,-18.539009361957138,5.511421587403781,9.106571362177501,7.907049312511883,6.7980573066404535,,,
81,UP,7.098633102004202,b'stance0001',b'swing0002',b'stance0001',b'stance0001',78.5,,,,,,19.635389472781284,,,-8.76321893901135,,,,,-18.67100036713819,5.639644023310683,9.201504297924286,7.885060497705045,7.226615141222159,,,
82,UP,7.121157005307499,b'stance0001',b'swing0002',b'stance0001',b'stance0001',48.06,,,,,,19.635389472781284,,,-8.739260312340644,,,,,-18.67403569686914,5.773970207996389,9.23367252689011,8.016542257498712,7.174707754370764,,,
83,UP,7.158615336971737,b'stance0001',b'swing0002',b'stance0001',b'stance0001',52.900000000000006,,,,,,19.635389472781284,,,-8.708775782690969,,,,,-18.571038479899627,5.733577470268845,9.203684713534606,8.037950335701508,6.574848212261887,,,
84,UP,7.219724988985417,b'stance0001',b'swing0002',b'stance0001',b'stance0001',57.025,,,,,,19.635389472781284,,,-8.567235374975297,,,,,-18.448853848213165,5.891442946254694,9.108031048660362,7.972885655672924,6.700407922079689,,,
85,UP,7.168502045287139,b'stance0001',b'swing0002',b'stance0001',b'stance0001',35.845,,,,,,19.635389472781284,,,-8.596102157996578,,,,,-18.50465492343833,5.9834984478584765,9.149448837008846,7.967895710326354,6.825515410084571,,,
