,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
57,DOWN,,1431.31,b'swing0001',b'swing0001',b'swing0001',b'stance0001',221.38158452493772,125.4631273410775,29.13774896547672,,,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,9.146211857729526,,,,,,,,,,,,,0.45644432558570847,82.44989787915763,83.63368457374968
58,DOWN,,1834.04,b'swing0001',b'swing0001',b'swing0001',b'stance0001',221.38158452493772,125.4631273410775,29.13774896547672,,,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,,139.17507429286596,,,,,,,,,,,,0.45644432558570847,82.44989787915763,83.63368457374968
59,DOWN,,2174.62,b'swing0001',b'swing0001',b'swing0001',b'stance0001',221.38158452493772,125.4631273410775,29.13774896547672,,,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,,143.46195844259245,,,,,,,,,,,,0.45644432558570847,82.44989787915763,83.63368457374968
60,DOWN,,1907.61,b'swing0001',b'stance0001',b'swing0001',b'stance0001',,125.4631273410775,29.13774896547672,,,,,,,,,,,,,,,,18.837588091729998,,,,,,,152.757161468561,,,,,,59.27902047676935,52.182738386545395,50.65721786656969,,,,0.45644432558570847,82.44989787915763,83.63368457374968
61,DOWN,,1690.82,b'swing0001',b'stance0001',b'swing0001',b'stance0001',,125.4631273410775,29.13774896547672,,,,,,,,,,,,,,,,18.837588091729998,,,,,,,150.11563113674757,,,,,,59.27902047676935,52.182738386545395,50.65721786656969,,,,0.45644432558570847,82.44989787915763,83.63368457374968
62,DOWN,,1989.53,b'swing0001',b'stance0001',b'swing0001',b'stance0001',,125.4631273410775,29.13774896547672,,,,,,,,,,,,,,,,18.837588091729998,,,,,,,155.784975503647,,,,,,59.27902047676935,52.182738386545395,50.65721786656969,,,,0.45644432558570847,82.44989787915763,83.63368457374968
63,DOWN,,2179.44,b'swing0001',b'stance0001',b'swing0001',b'stance0001',,125.4631273410775,29.13774896547672,,,,,,,,,,,,,,,,18.837588091729998,,,,,,,155.5142587587332,,,,,,59.27902047676935,52.182738386545395,50.65721786656969,,,,0.45644432558570847,82.44989787915763,83.63368457374968
64,DOWN,,2250.22,b'swing0001',b'stance0001',b'swing0001',b'stance0001',,125.4631273410775,29.13774896547672,,,,,,,,,,,,,,,,18.837588091729998,,,,,,160.28696348901443,,,,,,,59.27902047676935,52.182738386545395,50.65721786656969,,,,0.45644432558570847,82.44989787915763,83.63368457374968
65,DOWN,,1733.57,b'swing0001',b'stance0001',b'swing0001',b'stance0001',,125.4631273410775,29.13774896547672,,,,,,,,,,,,,,,,18.837588091729998,,,,,,,,,,,,,59.27902047676935,52.182738386545395,50.65721786656969,,,,0.45644432558570847,82.44989787915763,83.63368457374968
66,DOWN,,2435.79,b'swing0001',b'stance0001',b'swing0001',b'stance0001',,125.4631273410775,29.13774896547672,,,,,,,,,,,,,,,,18.837588091729998,,,,,,,167.7691180160997,,,,,,59.27902047676935,52.182738386545395,50.65721786656969,,,,0.45644432558570847,82.44989787915763,83.63368457374968
