,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL
39,UP,3.0682085102558574,2814.37,b'stride0003',b'stance0001',b'stride0003',b'stance0003',,467.36620202045566,279.5377329942756,,26.126497136639443,,,,,41.84557243617015,,107.98051465392369,,,60.65335402998126,,5.9512155463870595,,7.419755445964851,,,,-45.17498598689224,,,,53.36697260994957,156.2105912876036,,,124.44221804736654,108.47314112805446
40,UP,2.319076429953128,3122.455,b'stride0003',b'stance0001',b'stride0003',b'stance0003',,467.36620202045566,279.5377329942756,,24.46145087137787,,,,,41.84557243617015,,107.98051465392369,,,60.65335402998126,,5.9512155463870595,,7.419755445964851,,,,-45.17498598689224,,,,107.07046397000992,137.69362986443141,,,45.024673842259574,116.4790699305982
41,UP,3.893083074150553,2949.925,b'stride0003',b'stance0001',b'stance0003',b'stride0004',,467.36620202045566,,0.0,23.935916999094985,,,,,41.84557243617015,55.431562497171946,,,,,,5.9512155463870595,,,,,,,,,,104.50470313204102,139.92571438024046,,,,121.52898621485848
42,UP,,2577.65,b'stride0003',b'stance0001',b'stance0003',b'stance0004',,467.36620202045566,,,,,,,,41.84557243617015,55.431562497171946,,,,,,5.9512155463870595,,,,,,,,,,42.18208284667324,140.76984201781298,,,119.63745770602222,122.21496916775872
43,UP,,2526.765,b'stride0003',b'stance0001',b'stance0003',b'stride0005',,467.36620202045566,,809.0424698383686,,,,,,41.84557243617015,55.431562497171946,,,,,,5.9512155463870595,,,,,,,,,,42.35460639555623,,,174.25764838503125,117.30587916902597,
44,UP,,2656.05,b'stride0003',b'stance0001',b'stance0003',b'stride0005',,467.36620202045566,,809.0424698383686,,,,,,41.84557243617015,55.431562497171946,,,,,,5.9512155463870595,,,,,,,,,,41.612386345345726,138.01732085043471,,,114.46377035083276,131.06377407671954
45,UP,6.849477462885687,2532.48,b'stride0003',b'stance0001',b'stance0003',b'stride0005',,467.36620202045566,,809.0424698383686,24.437725249818957,,,,,41.84557243617015,55.431562497171946,,,,,,5.9512155463870595,,,,,,,,,,40.51165971405365,135.8588679101393,,,113.76476626597332,132.52157598325599
46,UP,,2177.63,b'stride0003',b'stride0002',b'stance0003',b'stride0005',0.0,467.36620202045566,,809.0424698383686,,,,,,,55.431562497171946,,,,,,5.9512155463870595,,,,,,,,,,37.10078430536075,,,,113.57358685148094,
47,UP,6.649260808495967,2405.995,b'stance0003',b'stance0002',b'stance0003',b'stride0005',,,,809.0424698383686,,,,,19.175431980729556,,55.431562497171946,,,,,,,,,,,,,,,,26.788904188079982,,,,108.88397577388945,
48,UP,,2000.5,b'stance0003',b'stance0002',b'stance0003',b'stride0005',,,,809.0424698383686,,,,,19.175431980729556,,55.431562497171946,,,,,,,,,,,,,,,,31.013126219887283,,,,108.96094649801046,
